City/Country,City,Name,Latitude,Longitude,Value,Type
"Las Palmas, Spain",Las Palmas,Spain,27.958,-15.606231,20.09,Rent Index
"Kaunas, Lithuania",Kaunas,Lithuania,54.898214,23.904482,12.38,Rent Index
"Klaipeda, Lithuania",Klaipeda,Lithuania,55.712753,21.135047,11.61,Rent Index
"Braga, Portugal",Braga,Portugal,41.551058,-8.428005,12.28,Rent Index
"Kosice, Slovakia",Kosice,Slovakia,48.717227,21.249677,16.16,Rent Index
"Budapest, Hungary",Budapest,Hungary,47.498382,19.040471,18.08,Rent Index
"Brno, Czech Republic",Brno,Czech Republic,49.19506,16.606837,19.26,Rent Index
"Osijek, Croatia",Osijek,Croatia,45.554875,18.695359,8.14,Rent Index
"Gdansk, Poland",Gdansk,Poland,54.361434,18.628218,17.8,Rent Index
"Warsaw, Poland",Warsaw,Poland,52.233717,21.071411,22.5,Rent Index
"Gdynia, Poland",Gdynia,Poland,54.503833,18.462806,14.6,Rent Index
"Wroclaw, Poland",Wroclaw,Poland,51.108978,17.032669,19.64,Rent Index
"Olomouc, Czech Republic",Olomouc,Czech Republic,49.594057,17.251143,13.01,Rent Index
"Krakow (Cracow), Poland",Krakow (Cracow),Poland,50.060674,19.937139,18.18,Rent Index
"Poznan, Poland",Poznan,Poland,52.400632,16.919787,15.45,Rent Index
"Debrecen, Hungary",Debrecen,Hungary,47.531399,21.625978,10.34,Rent Index
"Bydgoszcz, Poland",Bydgoszcz,Poland,53.129746,18.02937,15.1,Rent Index
"Ostrava, Czech Republic",Ostrava,Czech Republic,49.834914,18.282008,10.73,Rent Index
"Podgorica, Montenegro",Podgorica,Montenegro,42.441524,19.262108,11.1,Rent Index
"Szczecin, Poland",Szczecin,Poland,53.429681,14.592913,12.73,Rent Index
"Bucharest, Romania",Bucharest,Romania,44.436141,26.10272,14,Rent Index
"Belgrade, Serbia",Belgrade,Serbia,44.817813,20.456897,12.28,Rent Index
"Lodz, Poland",Lodz,Poland,51.768732,19.456991,12.79,Rent Index
"Sofia, Bulgaria",Sofia,Bulgaria,42.697708,23.321867,12.96,Rent Index
"Sarajevo, Bosnia And Herzegovina",Sarajevo,Bosnia And Herzegovina,43.851977,18.386687,10.13,Rent Index
"Lublin, Poland",Lublin,Poland,51.246454,22.568446,18.04,Rent Index
"Katowice, Poland",Katowice,Poland,50.259899,19.021585,12.37,Rent Index
"Varna, Bulgaria",Varna,Bulgaria,43.21405,27.914733,8.71,Rent Index
"Timisoara, Romania",Timisoara,Romania,45.753836,21.225747,10.78,Rent Index
"Burgas, Bulgaria",Burgas,Bulgaria,42.444553,27.208265,7.29,Rent Index
"Cluj-Napoca, Romania",Cluj-Napoca,Romania,46.769379,23.589954,13.6,Rent Index
"Plovdiv, Bulgaria",Plovdiv,Bulgaria,42.141854,24.74993,7.65,Rent Index
"Banja Luka, Bosnia And Herzegovina",Banja Luka,Bosnia And Herzegovina,44.774118,17.196153,7.77,Rent Index
"Iasi, Romania",Iasi,Romania,47.161534,27.583614,10.55,Rent Index
"Sibiu, Romania",Sibiu,Romania,45.797391,24.15192,8.46,Rent Index
"Tirana, Albania",Tirana,Albania,41.315886,19.900912,9.96,Rent Index
"Oradea, Romania",Oradea,Romania,47.054916,21.928523,7.42,Rent Index
"Novi Sad, Serbia",Novi Sad,Serbia,45.255134,19.845176,7.47,Rent Index
"Skopje, Macedonia",Skopje,Macedonia,41.996092,21.431649,9.26,Rent Index
"Brasov, Romania",Brasov,Romania,45.652309,25.610275,9.96,Rent Index
"Nis, Serbia",Nis,Serbia,43.321504,21.89573,5.73,Rent Index
"Arad, Romania",Arad,Romania,46.293665,21.893762,9.22,Rent Index
"Craiova, Romania",Craiova,Romania,44.319016,23.796561,6.84,Rent Index
"Chisinau, Moldova",Chisinau,Moldova,47.024471,28.832253,9.35,Rent Index
"Odesa, Ukraine",Odesa,Ukraine,46.484302,30.732288,10.23,Rent Index
"Kiev, Ukraine",Kiev,Ukraine,50.450107,30.52405,12.43,Rent Index
"Dnipropetrovsk, Ukraine",Dnipropetrovsk,Ukraine,48.468022,35.041771,6.63,Rent Index
"Lviv, Ukraine",Lviv,Ukraine,49.841952,24.031592,8.1,Rent Index
"Kharkiv, Ukraine",Kharkiv,Ukraine,49.992318,36.231015,8.29,Rent Index
"London, United Kingdom",London,England,51.507351,-0.127758,76.67,Rent Index
"Milton Keynes, United Kingdom",Milton Keynes,England,52.04298,-0.758961,37.34,Rent Index
"Bath, United Kingdom",Bath,England,51.381386,-2.359696,37.62,Rent Index
"Reading, United Kingdom",Reading,England,51.451495,-0.983634,40.91,Rent Index
"Aberdeen, United Kingdom",Aberdeen,Scotland,57.148243,-2.092809,32.13,Rent Index
"Cambridge, United Kingdom",Cambridge,England,52.203482,0.123582,47.33,Rent Index
"Portsmouth, United Kingdom",Portsmouth,England,50.803683,-1.075614,32.23,Rent Index
"Oxford, United Kingdom",Oxford,England,51.752013,-1.25785,53.29,Rent Index
"Edinburgh, United Kingdom",Edinburgh,Scotland,55.953346,-3.188375,34.6,Rent Index
"York, United Kingdom",York,England,53.959055,-1.081536,29.69,Rent Index
"Bristol, United Kingdom",Bristol,England,51.453802,-2.597298,40.01,Rent Index
"Manchester, United Kingdom",Manchester,England,53.479489,-2.245115,30.87,Rent Index
"Brighton, United Kingdom",Brighton,England,50.82204,-0.137406,44.89,Rent Index
"Nottingham, United Kingdom",Nottingham,England,52.953419,-1.149646,24.8,Rent Index
"Coventry, United Kingdom",Coventry,England,52.408181,-1.510477,26.45,Rent Index
"Norwich, United Kingdom",Norwich,England,52.628606,1.29227,25.34,Rent Index
"Leeds, United Kingdom",Leeds,England,53.797418,-1.543794,30.31,Rent Index
"Sheffield, United Kingdom",Sheffield,England,53.380663,-1.470228,25.05,Rent Index
"Glasgow, United Kingdom",Glasgow,Scotland,55.860982,-4.248879,28.12,Rent Index
"Exeter, United Kingdom",Exeter,England,50.725562,-3.526911,31.86,Rent Index
"Birmingham, United Kingdom",Birmingham,England,52.47754,-1.894053,29.57,Rent Index
"Cardiff, United Kingdom",Cardiff,Wales,51.481655,-3.179193,28.32,Rent Index
"Southampton, United Kingdom",Southampton,England,50.902535,-1.404189,33.09,Rent Index
"Newcastle Upon Tyne, United Kingdom",Newcastle Upon Tyne,England,54.973847,-1.613157,25.69,Rent Index
"Liverpool, United Kingdom",Liverpool,England,53.407154,-2.991665,24.96,Rent Index
"Belfast, United Kingdom",Belfast,Northern Ireland,54.596441,-5.930276,23.7,Rent Index
"Derby, United Kingdom",Derby,England,52.921262,-1.476149,21.48,Rent Index
"Zurich, Switzerland",Zurich,Switzerland,47.376943,8.541406,105.03,Cost of Living Plus Rent Index
"Geneva, Switzerland",Geneva,Switzerland,46.201756,6.146601,104.38,Cost of Living Plus Rent Index
"Basel, Switzerland",Basel,Switzerland,47.559599,7.588576,91.61,Cost of Living Plus Rent Index
"Bern, Switzerland",Bern,Switzerland,46.947974,7.447447,87.3,Cost of Living Plus Rent Index
"Lausanne, Switzerland",Lausanne,Switzerland,46.521827,6.632702,91.24,Cost of Living Plus Rent Index
"Reykjavik, Iceland",Reykjavik,Iceland,64.145981,-21.942237,91.7,Cost of Living Plus Rent Index
"Stavanger, Norway",Stavanger,Norway,58.96896,5.729465,80.61,Cost of Living Plus Rent Index
"Lugano, Switzerland",Lugano,Switzerland,46.00501,8.952028,86.73,Cost of Living Plus Rent Index
"Oslo, Norway",Oslo,Norway,59.91333,10.73897,84.46,Cost of Living Plus Rent Index
"Trondheim, Norway",Trondheim,Norway,63.430566,10.395193,79.58,Cost of Living Plus Rent Index
"Bergen, Norway",Bergen,Norway,60.391263,5.322054,77.58,Cost of Living Plus Rent Index
"Copenhagen, Denmark",Copenhagen,Denmark,55.686724,12.570072,74.97,Cost of Living Plus Rent Index
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,49.815868,6.129675,79.08,Cost of Living Plus Rent Index
"Paris, France",Paris,France,48.856614,2.352222,72.34,Cost of Living Plus Rent Index
"Limerick, Ireland",Limerick,Ireland,52.661252,-8.630124,61.37,Cost of Living Plus Rent Index
"Arhus, Denmark",Arhus,Denmark,56.149628,10.213405,64.37,Cost of Living Plus Rent Index
"Aalborg, Denmark",Aalborg,Denmark,57.048221,9.919394,60.13,Cost of Living Plus Rent Index
"Stockholm, Sweden",Stockholm,Sweden,59.325117,18.071093,68.87,Cost of Living Plus Rent Index
"Montpellier, France",Montpellier,France,43.611242,3.876734,58.95,Cost of Living Plus Rent Index
"Dublin, Ireland",Dublin,Ireland,53.349764,-6.260273,76.52,Cost of Living Plus Rent Index
"Linz, Austria",Linz,Austria,48.30694,14.28583,60.44,Cost of Living Plus Rent Index
"Amsterdam, Netherlands",Amsterdam,Netherlands,52.37454,4.897976,74.23,Cost of Living Plus Rent Index
"Antwerp, Belgium",Antwerp,Belgium,51.22111,4.399708,59.19,Cost of Living Plus Rent Index
"Helsinki, Finland",Helsinki,Finland,60.169856,24.938379,64.98,Cost of Living Plus Rent Index
"Grenoble, France",Grenoble,France,45.18756,5.735782,57.51,Cost of Living Plus Rent Index
"Tampere, Finland",Tampere,Finland,61.498021,23.760312,59.08,Cost of Living Plus Rent Index
"Florence, Italy",Florence,Italy,43.769871,11.255576,60.34,Cost of Living Plus Rent Index
"Nice, France",Nice,France,43.700936,7.268391,60.14,Cost of Living Plus Rent Index
"Leuven, Belgium",Leuven,Belgium,50.879202,4.701168,58.38,Cost of Living Plus Rent Index
"Gent, Belgium",Gent,Belgium,50.879202,4.701168,57.07,Cost of Living Plus Rent Index
"Milan, Italy",Milan,Italy,45.4668,9.1905,65.11,Cost of Living Plus Rent Index
"Genoa, Italy",Genoa,Italy,44.40726,8.933862,54.39,Cost of Living Plus Rent Index
"The Hague (Den Haag), Netherlands",The Hague (Den Haag),Netherlands,52.079984,4.311346,61.14,Cost of Living Plus Rent Index
"Munich, Germany",Munich,Germany,48.137108,11.575382,66.3,Cost of Living Plus Rent Index
"Lyon, France",Lyon,France,45.757814,4.832011,57.26,Cost of Living Plus Rent Index
"Gothenburg, Sweden",Gothenburg,Sweden,57.707233,11.967017,58.38,Cost of Living Plus Rent Index
"Brussels, Belgium",Brussels,Belgium,50.846557,4.351697,60.55,Cost of Living Plus Rent Index
"Utrecht, Netherlands",Utrecht,Netherlands,52.080952,5.12768,62.55,Cost of Living Plus Rent Index
"Cork, Ireland",Cork,Ireland,51.897928,-8.470581,62.19,Cost of Living Plus Rent Index
"Toulouse, France",Toulouse,France,43.604462,1.444247,54.94,Cost of Living Plus Rent Index
"Rotterdam, Netherlands",Rotterdam,Netherlands,51.922896,4.463173,59.8,Cost of Living Plus Rent Index
"Dusseldorf, Germany",Dusseldorf,Germany,51.225402,6.776314,60.23,Cost of Living Plus Rent Index
"Turku, Finland",Turku,Finland,60.451753,22.267052,54.87,Cost of Living Plus Rent Index
"Padova, Italy",Padova,Italy,45.407717,11.873446,53.85,Cost of Living Plus Rent Index
"Frankfurt, Germany",Frankfurt,Germany,50.110922,8.682127,60.4,Cost of Living Plus Rent Index
"Hamburg, Germany",Hamburg,Germany,53.550341,10.000654,58.02,Cost of Living Plus Rent Index
"Parma, Italy",Parma,Italy,44.801368,10.328083,53.85,Cost of Living Plus Rent Index
"Maastricht, Netherlands",Maastricht,Netherlands,50.857985,5.696988,57.86,Cost of Living Plus Rent Index
"Graz, Austria",Graz,Austria,47.070868,15.438279,53.75,Cost of Living Plus Rent Index
"Galway, Ireland",Galway,Ireland,53.274412,-9.049063,58.21,Cost of Living Plus Rent Index
"Malmo, Sweden",Malmo,Sweden,55.605293,13.000157,55.09,Cost of Living Plus Rent Index
"Uppsala, Sweden",Uppsala,Sweden,59.858564,17.638927,54.97,Cost of Living Plus Rent Index
"Lund, Sweden",Lund,Sweden,55.70293,13.192945,54.16,Cost of Living Plus Rent Index
"Bologna, Italy",Bologna,Italy,44.49382,11.342633,53.5,Cost of Living Plus Rent Index
"Sliema, Malta",Sliema,Malta,35.912761,14.502071,58.32,Cost of Living Plus Rent Index
"Rome, Italy",Rome,Italy,41.894802,12.485338,60.2,Cost of Living Plus Rent Index
"Eindhoven, Netherlands",Eindhoven,Netherlands,51.439265,5.478633,57.73,Cost of Living Plus Rent Index
"Vienna, Austria",Vienna,Austria,48.208354,16.372504,57.61,Cost of Living Plus Rent Index
"Lille, France",Lille,France,50.636565,3.063528,52.47,Cost of Living Plus Rent Index
"Trieste, Italy",Trieste,Italy,45.650033,13.770656,50.76,Cost of Living Plus Rent Index
"Bergamo, Italy",Bergamo,Italy,45.756656,9.754219,50.87,Cost of Living Plus Rent Index
"Heidelberg, Germany",Heidelberg,Germany,49.398752,8.672434,57.96,Cost of Living Plus Rent Index
"Mannheim, Germany",Mannheim,Germany,49.489291,8.46731,52.99,Cost of Living Plus Rent Index
"Groningen, Netherlands",Groningen,Netherlands,53.219065,6.568008,54.59,Cost of Living Plus Rent Index
"Karlsruhe, Germany",Karlsruhe,Germany,49.00689,8.403653,50.76,Cost of Living Plus Rent Index
"Turin, Italy",Turin,Italy,45.070339,7.686864,50.01,Cost of Living Plus Rent Index
"Stuttgart, Germany",Stuttgart,Germany,48.778449,9.180013,55.4,Cost of Living Plus Rent Index
"Berlin, Germany",Berlin,Germany,52.517037,13.38886,54.65,Cost of Living Plus Rent Index
"Palma De Mallorca, Spain",Palma De Mallorca,Spain,39.5696,2.65016,50.12,Cost of Living Plus Rent Index
"Cologne, Germany",Cologne,Germany,50.938361,6.959974,52.67,Cost of Living Plus Rent Index
"Bonn, Germany",Bonn,Germany,50.73743,7.098207,52.21,Cost of Living Plus Rent Index
"Bremen, Germany",Bremen,Germany,53.07582,8.807165,48.72,Cost of Living Plus Rent Index
"Bilbao, Spain",Bilbao,Spain,43.263005,-2.934992,52.55,Cost of Living Plus Rent Index
"Nuremberg, Germany",Nuremberg,Germany,49.453872,11.077298,49.67,Cost of Living Plus Rent Index
"Leipzig, Germany",Leipzig,Germany,51.340632,12.374733,47.22,Cost of Living Plus Rent Index
"Aachen, Germany",Aachen,Germany,50.776351,6.083862,48.99,Cost of Living Plus Rent Index
"Dresden, Germany",Dresden,Germany,51.049329,13.738144,47.94,Cost of Living Plus Rent Index
"Naples, Italy",Naples,Italy,40.835934,14.248783,46.41,Cost of Living Plus Rent Index
"Darmstadt, Germany",Darmstadt,Germany,49.872775,8.651177,51.13,Cost of Living Plus Rent Index
"Barcelona, Spain",Barcelona,Spain,41.387397,2.168568,52.37,Cost of Living Plus Rent Index
"Marseille, France",Marseille,France,43.296174,5.369953,47.6,Cost of Living Plus Rent Index
"Hanover, Germany",Hanover,Germany,52.374478,9.738553,46.59,Cost of Living Plus Rent Index
"Malta, Malta",Malta,Malta,35.937496,14.375416,48.26,Cost of Living Plus Rent Index
"Madrid, Spain",Madrid,Spain,40.416705,-3.703582,51.13,Cost of Living Plus Rent Index
"Nicosia, Cyprus",Nicosia,Cyprus,35.180282,33.373696,42.59,Cost of Living Plus Rent Index
"Ljubljana, Slovenia",Ljubljana,Slovenia,46.049815,14.506782,43.84,Cost of Living Plus Rent Index
"Zaragoza (Saragossa), Spain",Zaragoza (Saragossa),Spain,41.652134,-0.880943,41.2,Cost of Living Plus Rent Index
"Thessaloniki, Greece",Thessaloniki,Greece,40.640063,22.944419,39.2,Cost of Living Plus Rent Index
"Athens, Greece",Athens,Greece,37.983941,23.728305,40.22,Cost of Living Plus Rent Index
"Limassol, Cyprus",Limassol,Cyprus,34.68529,33.033266,44.57,Cost of Living Plus Rent Index
"Martin, Slovakia",Martin,Slovakia,49.072492,18.929193,41.63,Cost of Living Plus Rent Index
"Tallinn, Estonia",Tallinn,Estonia,59.437216,24.745369,39.84,Cost of Living Plus Rent Index
"Valencia, Spain",Valencia,Spain,39.469901,-0.375951,41.17,Cost of Living Plus Rent Index
"Sevilla, Spain",Sevilla,Spain,37.38863,-5.99534,41.35,Cost of Living Plus Rent Index
"Larnaca, Cyprus",Larnaca,Cyprus,34.923609,33.623618,36.53,Cost of Living Plus Rent Index
"Split, Croatia",Split,Croatia,43.508132,16.440193,37.2,Cost of Living Plus Rent Index
"Rijeka, Croatia",Rijeka,Croatia,45.326936,14.440984,36.24,Cost of Living Plus Rent Index
"Zagreb, Croatia",Zagreb,Croatia,45.813177,15.977048,37.45,Cost of Living Plus Rent Index
"Lisbon, Portugal",Lisbon,Portugal,38.707751,-9.136592,44.01,Cost of Living Plus Rent Index
"Patras, Greece",Patras,Greece,38.246242,21.735085,34.23,Cost of Living Plus Rent Index
"Malaga, Spain",Malaga,Spain,36.721303,-4.421637,39.85,Cost of Living Plus Rent Index
"Funchal, Portugal",Funchal,Portugal,32.64965,-16.908678,38.15,Cost of Living Plus Rent Index
"Tartu, Estonia",Tartu,Estonia,58.374844,26.730244,35.69,Cost of Living Plus Rent Index
"Porto, Portugal",Porto,Portugal,41.157944,-8.629105,38.5,Cost of Living Plus Rent Index
"Riga, Latvia",Riga,Latvia,56.949398,24.105185,35.75,Cost of Living Plus Rent Index
"Coimbra, Portugal",Coimbra,Portugal,40.21098,-8.429206,35.25,Cost of Living Plus Rent Index
"Granada, Spain",Granada,Spain,37.183054,-3.602193,35.39,Cost of Living Plus Rent Index
"Vilnius, Lithuania",Vilnius,Lithuania,54.687046,25.282911,36.72,Cost of Living Plus Rent Index
"Prague, Czech Republic",Prague,Czech Republic,50.087465,14.421254,39.96,Cost of Living Plus Rent Index
"Bratislava, Slovakia",Bratislava,Slovakia,48.135908,17.159744,38.8,Cost of Living Plus Rent Index
"Santa Cruz De Tenerife, Spain",Santa Cruz De Tenerife,Spain,28.469648,-16.254088,36.32,Cost of Living Plus Rent Index
"Las Palmas, Spain",Las Palmas,Spain,27.958,-15.606231,36.98,Cost of Living Plus Rent Index
"Kaunas, Lithuania",Kaunas,Lithuania,54.898214,23.904482,33.19,Cost of Living Plus Rent Index
"Klaipeda, Lithuania",Klaipeda,Lithuania,55.712753,21.135047,32.57,Cost of Living Plus Rent Index
"Braga, Portugal",Braga,Portugal,41.551058,-8.428005,32.55,Cost of Living Plus Rent Index
"Kosice, Slovakia",Kosice,Slovakia,48.717227,21.249677,34.38,Cost of Living Plus Rent Index
"Budapest, Hungary",Budapest,Hungary,47.498382,19.040471,35.12,Cost of Living Plus Rent Index
"Brno, Czech Republic",Brno,Czech Republic,49.19506,16.606837,35.32,Cost of Living Plus Rent Index
"Osijek, Croatia",Osijek,Croatia,45.554875,18.695359,29.32,Cost of Living Plus Rent Index
"Gdansk, Poland",Gdansk,Poland,54.361434,18.628218,33.96,Cost of Living Plus Rent Index
"Warsaw, Poland",Warsaw,Poland,52.233717,21.071411,35.86,Cost of Living Plus Rent Index
"Gdynia, Poland",Gdynia,Poland,54.503833,18.462806,31.82,Cost of Living Plus Rent Index
"Wroclaw, Poland",Wroclaw,Poland,51.108978,17.032669,33.43,Cost of Living Plus Rent Index
"Olomouc, Czech Republic",Olomouc,Czech Republic,49.594057,17.251143,30.08,Cost of Living Plus Rent Index
"Krakow (Cracow), Poland",Krakow (Cracow),Poland,50.060674,19.937139,32.48,Cost of Living Plus Rent Index
"Poznan, Poland",Poznan,Poland,52.400632,16.919787,30.89,Cost of Living Plus Rent Index
"Debrecen, Hungary",Debrecen,Hungary,47.531399,21.625978,28.24,Cost of Living Plus Rent Index
"Bydgoszcz, Poland",Bydgoszcz,Poland,53.129746,18.02937,30.53,Cost of Living Plus Rent Index
"Ostrava, Czech Republic",Ostrava,Czech Republic,49.834914,18.282008,28.36,Cost of Living Plus Rent Index
"Podgorica, Montenegro",Podgorica,Montenegro,42.441524,19.262108,28.48,Cost of Living Plus Rent Index
"Szczecin, Poland",Szczecin,Poland,53.429681,14.592913,29.23,Cost of Living Plus Rent Index
"Bucharest, Romania",Bucharest,Romania,44.436141,26.10272,29.73,Cost of Living Plus Rent Index
"Belgrade, Serbia",Belgrade,Serbia,44.817813,20.456897,28.7,Cost of Living Plus Rent Index
"Lodz, Poland",Lodz,Poland,51.768732,19.456991,28.78,Cost of Living Plus Rent Index
"Sofia, Bulgaria",Sofia,Bulgaria,42.697708,23.321867,28.57,Cost of Living Plus Rent Index
"Sarajevo, Bosnia And Herzegovina",Sarajevo,Bosnia And Herzegovina,43.851977,18.386687,26.89,Cost of Living Plus Rent Index
"Lublin, Poland",Lublin,Poland,51.246454,22.568446,30.62,Cost of Living Plus Rent Index
"Katowice, Poland",Katowice,Poland,50.259899,19.021585,27.86,Cost of Living Plus Rent Index
"Varna, Bulgaria",Varna,Bulgaria,43.21405,27.914733,26.08,Cost of Living Plus Rent Index
"Timisoara, Romania",Timisoara,Romania,45.753836,21.225747,26.75,Cost of Living Plus Rent Index
"Burgas, Bulgaria",Burgas,Bulgaria,42.444553,27.208265,24.65,Cost of Living Plus Rent Index
"Cluj-Napoca, Romania",Cluj-Napoca,Romania,46.769379,23.589954,27.54,Cost of Living Plus Rent Index
"Plovdiv, Bulgaria",Plovdiv,Bulgaria,42.141854,24.74993,24.55,Cost of Living Plus Rent Index
"Banja Luka, Bosnia And Herzegovina",Banja Luka,Bosnia And Herzegovina,44.774118,17.196153,24.38,Cost of Living Plus Rent Index
"Iasi, Romania",Iasi,Romania,47.161534,27.583614,25.7,Cost of Living Plus Rent Index
"Sibiu, Romania",Sibiu,Romania,45.797391,24.15192,24.53,Cost of Living Plus Rent Index
"Tirana, Albania",Tirana,Albania,41.315886,19.900912,25.17,Cost of Living Plus Rent Index
"Oradea, Romania",Oradea,Romania,47.054916,21.928523,23.74,Cost of Living Plus Rent Index
"Novi Sad, Serbia",Novi Sad,Serbia,45.255134,19.845176,23.74,Cost of Living Plus Rent Index
"Skopje, Macedonia",Skopje,Macedonia,41.996092,21.431649,24.4,Cost of Living Plus Rent Index
"Brasov, Romania",Brasov,Romania,45.652309,25.610275,24.67,Cost of Living Plus Rent Index
"Nis, Serbia",Nis,Serbia,43.321504,21.89573,22.09,Cost of Living Plus Rent Index
"Arad, Romania",Arad,Romania,46.293665,21.893762,23.33,Cost of Living Plus Rent Index
"Craiova, Romania",Craiova,Romania,44.319016,23.796561,21.07,Cost of Living Plus Rent Index
"Chisinau, Moldova",Chisinau,Moldova,47.024471,28.832253,22.14,Cost of Living Plus Rent Index
"Odesa, Ukraine",Odesa,Ukraine,46.484302,30.732288,20.36,Cost of Living Plus Rent Index
"Kiev, Ukraine",Kiev,Ukraine,50.450107,30.52405,20.24,Cost of Living Plus Rent Index
"Dnipropetrovsk, Ukraine",Dnipropetrovsk,Ukraine,48.468022,35.041771,16.86,Cost of Living Plus Rent Index
"Lviv, Ukraine",Lviv,Ukraine,49.841952,24.031592,17.01,Cost of Living Plus Rent Index
"Kharkiv, Ukraine",Kharkiv,Ukraine,49.992318,36.231015,16.87,Cost of Living Plus Rent Index
"London, United Kingdom",London,England,51.507351,-0.127758,82.89,Cost of Living Plus Rent Index
"Milton Keynes, United Kingdom",Milton Keynes,England,52.04298,-0.758961,62.68,Cost of Living Plus Rent Index
"Bath, United Kingdom",Bath,England,51.381386,-2.359696,62.56,Cost of Living Plus Rent Index
"Reading, United Kingdom",Reading,England,51.451495,-0.983634,64.03,Cost of Living Plus Rent Index
"Aberdeen, United Kingdom",Aberdeen,Scotland,57.148243,-2.092809,58.56,Cost of Living Plus Rent Index
"Cambridge, United Kingdom",Cambridge,England,52.203482,0.123582,65.78,Cost of Living Plus Rent Index
"Portsmouth, United Kingdom",Portsmouth,England,50.803683,-1.075614,56.99,Cost of Living Plus Rent Index
"Oxford, United Kingdom",Oxford,England,51.752013,-1.25785,66.79,Cost of Living Plus Rent Index
"Edinburgh, United Kingdom",Edinburgh,Scotland,55.953346,-3.188375,57.69,Cost of Living Plus Rent Index
"York, United Kingdom",York,England,53.959055,-1.081536,54.69,Cost of Living Plus Rent Index
"Bristol, United Kingdom",Bristol,England,51.453802,-2.597298,59.59,Cost of Living Plus Rent Index
"Manchester, United Kingdom",Manchester,England,53.479489,-2.245115,54.83,Cost of Living Plus Rent Index
"Brighton, United Kingdom",Brighton,England,50.82204,-0.137406,61.21,Cost of Living Plus Rent Index
"Nottingham, United Kingdom",Nottingham,England,52.953419,-1.149646,51.3,Cost of Living Plus Rent Index
"Coventry, United Kingdom",Coventry,England,52.408181,-1.510477,51.96,Cost of Living Plus Rent Index
"Norwich, United Kingdom",Norwich,England,52.628606,1.29227,51.26,Cost of Living Plus Rent Index
"Leeds, United Kingdom",Leeds,England,53.797418,-1.543794,53.41,Cost of Living Plus Rent Index
"Sheffield, United Kingdom",Sheffield,England,53.380663,-1.470228,50.55,Cost of Living Plus Rent Index
"Glasgow, United Kingdom",Glasgow,Scotland,55.860982,-4.248879,52.03,Cost of Living Plus Rent Index
"Exeter, United Kingdom",Exeter,England,50.725562,-3.526911,53.24,Cost of Living Plus Rent Index
"Birmingham, United Kingdom",Birmingham,England,52.47754,-1.894053,51.33,Cost of Living Plus Rent Index
"Cardiff, United Kingdom",Cardiff,Wales,51.481655,-3.179193,50.69,Cost of Living Plus Rent Index
"Southampton, United Kingdom",Southampton,England,50.902535,-1.404189,52.97,Cost of Living Plus Rent Index
"Newcastle Upon Tyne, United Kingdom",Newcastle Upon Tyne,England,54.973847,-1.613157,48.58,Cost of Living Plus Rent Index
"Liverpool, United Kingdom",Liverpool,England,53.407154,-2.991665,48.04,Cost of Living Plus Rent Index
"Belfast, United Kingdom",Belfast,Northern Ireland,54.596441,-5.930276,47.04,Cost of Living Plus Rent Index
"Derby, United Kingdom",Derby,England,52.921262,-1.476149,45.92,Cost of Living Plus Rent Index
"Zurich, Switzerland",Zurich,Switzerland,47.376943,8.541406,149.86,Groceries Index
"Geneva, Switzerland",Geneva,Switzerland,46.201756,6.146601,138.98,Groceries Index
"Basel, Switzerland",Basel,Switzerland,47.559599,7.588576,127.54,Groceries Index
"Bern, Switzerland",Bern,Switzerland,46.947974,7.447447,132.7,Groceries Index
"Lausanne, Switzerland",Lausanne,Switzerland,46.521827,6.632702,126.59,Groceries Index
